,day,seq_num,exposure_id,exposure_time,time,Flux
2022050500145,20220505,145,2022050500145,4.0,2022-05-05T20:23:07.495002,62546.70703125
2022050500144,20220505,144,2022050500144,4.0,2022-05-05T20:23:00.935995,62546.546875
2022050500143,20220505,143,2022050500143,3.0,2022-05-05T20:22:55.374006,46929.7578125
2022050500142,20220505,142,2022050500142,3.0,2022-05-05T20:22:49.812982,46925.453125
2022050500141,20220505,141,2022050500141,2.5,2022-05-05T20:22:44.758010,39097.55078125
2022050500140,20220505,140,2022050500140,2.5,2022-05-05T20:22:39.706016,39095.953125
2022050500139,20220505,139,2022050500139,2.0,2022-05-05T20:22:35.146998,31264.5234375
2022050500138,20220505,138,2022050500138,2.0,2022-05-05T20:22:30.587980,31261.38671875
2022050500137,20220505,137,2022050500137,1.0,2022-05-05T20:22:26.792990,15606.830078125
2022050500136,20220505,136,2022050500136,1.0,2022-05-05T20:22:23.233001,15606.193359375
2022050500135,20220505,135,2022050500135,0.5,2022-05-05T20:22:20.176007,7796.404296875
2022050500134,20220505,134,2022050500134,0.5,2022-05-05T20:22:17.125008,7794.8525390625
2022050500123,20220505,123,2022050500123,3.0,2022-05-05T20:08:50.501984,46894.73828125
2022050500122,20220505,122,2022050500122,3.0,2022-05-05T20:08:44.944983,46893.875
2022050500121,20220505,121,2022050500121,1.5,2022-05-05T20:08:40.885983,23411.8984375
2022050500120,20220505,120,2022050500120,1.5,2022-05-05T20:08:36.819982,23409.484375
